timestamp,symbol,side,price,units,equity_after
2025-08-30T12:44:08.882697+00:00,ADA-USD,BUY,0.8097,1,1665.8569666666667
2025-08-30T12:54:29.853239+00:00,DOGE-USD,BUY,0.21457,1,1666.4520966666666
2025-08-30T12:54:30.069921+00:00,ADA-USD,SELL,0.812,1,1666.6689666666666
2025-08-30T12:59:08.968787+00:00,SOL-USD,BUY,200.65,1,1466.0166666666667
2025-08-30T12:59:40.437663+00:00,DOGE-USD,SELL,0.21474,1,1666.6668366666665
2025-08-30T13:18:59.569908+00:00,LTC-USD,BUY,109.46,1,1557.2066666666667
